0MKLE7kc8hGRcZcydq9cbMDk5bz9B9kA3CnOVAK+ZxQ=,233686,958,Helene Grimaud,,,-1.0
MCWP/Gwwh4yXSMmoZBF7rSP9+jtkhag1l3MLB1jfzL8=,211022,465,张沫凡,张沫凡,,52.0
m/T8SumVUWzfj6eDDyPkC5O1wAWtNr52OKDRYwVCKnY=,445765,958,Wiener Philharmoniker,Giuseppe Verdi,,-1.0
HiA4TNk/lSMwQtQOZja7FhSe+kTPTES4PoV1rMKzxxE=,156107,691,Christmas Singers,,,52.0
B7wqLj7CxXtuiUxqodgaIUrKSm6A+cH7ja5fsNQBH7w=,157857,958,Arthur Fiedler,Camille Saint-Saëns,,-1.0
vMqBKoAVwJigj9USGMlDEF3wdWCWVztydc8bKUO7BaI=,177865,465,Danny Darrow,,,52.0
IkFGSm/XmkZgtGNEwRtvt9AvkVVOmCa7MYv/6NB+18U=,437786,958,Slovak Philharmonic Orchestra,Johann Sebastian Bach,,-1.0
plJ9hqyC60KxdNUZbZkZ73Dvd6CbOJAHFvfjG/EsPsY=,375379,465,Chilly Gonzales,"Jason ""Chilly Gonzales"" Beck| Jason ""Chilly Gonzales"" Beck| Alex Ridha",,52.0
WOlowkDmDxiy9EvK1SfURhT8ywnEirgyh5Wi6nXG0o4=,268608,465,Wings,,,52.0
iTnZ4hGTTGzr0SWVW2JpI2lOvb+Pv5v7IRdohUMf/+w=,199506,958,Martha Argerich,Johann Sebastian Bach,,-1.0
xNhe6FNHdzgCAISTo+LoOL1ym4HLOevPV4czYeVdefo=,187245,465,Helene Hørlyck,Helene Hørlyck| Jonathan Harrison,,52.0
SqmHT6wL0EaD1yohlbzQRPcoU8f9nsv4EFBAHz5JJbA=,193280,465,ハワイアン・ジュエリー,Owens Harry,,-1.0
ApJTnVQglXhN5UaLTDjJGXzbWOOijxmqunlgv0Y3LHU=,266820,465,內地華語精選,,,3.0
jO98s7/FrDvB2d39PT/Dk2Tr63seVajkN2S7p+YG1Wg=,276693,786,44°+,44°+,,-1.0
S5wLi6GMWXY0NWJUDRti9thacKcMco5S7kInnMlDvWI=,267400,958,Daniel Barenboim,Frédéric Chopin,,-1.0
ke2zk3KFZLz1mVdfAd4p1MDROn0lnLzbDSx9enTqO14=,247024,958,John Williams,François Couperin,,-1.0
WW24iPc1x8C82c2D+zp6mZsW/7QzMaWv3U4uzuMunuY=,190404,465,Amanda Thorpe,,,52.0
HIhadLlhkv0C5S1Q9c/Kw0wdAoWvXEbZGDqJLnsEufY=,166034,458,腦濁樂隊 (Brain Failure),腦濁樂隊,腦濁樂隊,3.0
FCa/SdP672r/Ll7jMSlUy7Y2cr/dFPBedwqKaYRBMSc=,89350,921,Rachel Portman,Rachel Portman,,52.0
VPVcXbdznvnIPMsvmFSnGdbe54IXRxau6LJ1RZwsyzc=,196858,786,鋼琴饗宴,,,-1.0
5/S10jyRPR5prxYtyi3XP/O6mICsuFnQRd848NNMOZg=,828421,958,Gilbert Kalish,Joseph Haydn,,-1.0
r/wf7MQ4/gQcH4wJBIYHBx+LOp8tEc0mD+ImdCb15NM=,219010,444,Taeyeon,Moon| Hye-min Kim| Courtney Woolsey| Daniel Durn| Katrine Neya Klith| Johan Gustafsson| Sebastian Lundberg| Fredrik Häggstam,,31.0
ihXpWMN8gyxUGsNEPvx3Vv0xZAwjmk3TyLNj/85n6pQ=,268131,465,Starship,Albert Hammond|Diane  Warren,Albert Hammond|Diane  Warren,52.0
W0gDZ+nA/733zweLxQGCYWllW1ybSC5wzyPLkm1LayE=,300303,786,貴族精選,林正源,新韻傳音,-1.0
6eG0S3bWs8Cfo6rWs5JPmZ8sADyiu1CCudh/+DFmnqU=,306468,786,台灣音樂便當 (A Tasty Bento Box of Taiwanese Music),范宗沛,,3.0
sutdN//a0N28i7nvO1eebZo0P691xlkpZOKLayOhsW4=,154017,465,Jason Donovan,Jeff Lewis|Bill Giant,Jeff Lewis|Bill Giant,52.0
7Q8WAsOIRwttv3vOcy0l1+fkQyGOT1RerVRNi/W/2ro=,225488,465,Sumire Uesaka (上坂堇),松浦勇気,松浦勇気,17.0
k8rgEoZY40EZoMVyJYWMStXUAo/PEHkqBJBsYJoga8E=,195117,947,浮生夢事系列,,,3.0
0WeEhTkOJOiSzLbk2mpzWnGZ6yj5dz7tC8gr9t3Ggx4=,273371,465,Amberian Dawn,Tuomas Seppälä,Heidi Parviainen,52.0
EV6UZwaARspIKv93NGA14O55Qp6REySIWhjaaq7Xf60=,217949,465,Alexandra Burke,Leonard Cohen,Leonard Cohen,52.0
tDewOn49w1Iz396A2I0DXOQRBpFDJbbJtJmCrO/miAo=,287648,893,Susumu Hirasawa,Susumu Hirasawa,,52.0
Iv03J5vdGNifIveYAT9cMxfl5zDSPhF9jQPj8K+yH/g=,326936,940,Maggie Diaz Del Castillo,,,-1.0
HnxTqZmrZQ6Rs94YGrhTZqFrCh6fTHfkOuQx+jN/N3k=,198426,726,Kids Biz,,,-1.0
d1HV6vHyPbV4ZaoFpe5fvGdUx8ozC+s4Axfpfk3oY2s=,192574,921,Michael A. Levine,,,52.0
GuvW4IVxLic9iOT36RWbbq5WjnKf81nDs0vNAlL/7d0=,148700,465,Gabe Bondoc,Galicano Gabriel Bondoc,,52.0
BFTxo8c4ETEtU/D83ZCP1uo3LF2HAmLBEf0GY/B1yJE=,152044,465,Ray Charles| Betty Carter,Ray Charles,,52.0
5INUBkfWHerVKMkuSXucDNW8eR26oV+d1h0PscMt5CE=,262478,465,Sleep Party People,,,52.0
b4Wijq8BftyqfIOBGRrd3z81JasPZYjVFy7eB6N2eYw=,242369,465,林慧萍 (Monique Lin),,,3.0
u7bNOx2zPFNei41+BbVqxK4pRu7YjHwe+9GCO7ziR6g=,207307,986,Gary Karr| Elmira Darvarova & Harmon Lewis,,,-1.0
/YHSsRZvtcuc3HlrsAi8v7KsGxgJlRATTYnIFDYx894=,179815,388,The New York Theatre Orchestra - The Broadway Choir,Andrew Lloyd Webber - C. Hart - D. Black,,52.0
OozlFYgGVvo3qKa4hBYMCxOxBRhZPf0XE+FaSAvbHqA=,196075,465,Duran Duran,,,52.0
oIsZRBzhozajJQ08JEbSOgWyAlAU0yw41SYXoYw95LA=,187306,921,Mattia Cupelli,,,52.0
bZ7cE5hTeomXGEkJQq2Li/llagMxYm70fDH7t7b55f8=,184320,958,Daniel Barenboim/Wiener Philharmoniker,海爾梅斯伯格,,-1.0
Zbt6O1Gv3/+JfdqP95fANDUX1kRnowx/IjykubmV1Do=,108576,545,思嘉姐姐,思嘉姐姐,,-1.0
QK/F4ZTgiJvrmdvI1QTN1qiTjlYQM80TdBYmcTe0zu4=,130310,921,Graeme Revell,Graeme Revell,,52.0
zgzWJCMEPMLSGR47s90wrwM66XHPoIUnrw1gumSlSmY=,329723,437,FUNKY MONKEY BABYS,Hachioji Family,,17.0
m+Oko2zmT88yoLxVBwbyW1ltx1b2cLrTf/c5B9Oa4xw=,207679,409,Anthony Touma,Anthony Touma,,52.0
qrDaQ4rqs7dPOTdbMpmtbjEjE7katmq32fLCEVGxzd4=,169319,921,John Williams,John Williams,,52.0
iEcQnbxianX5JifOiIsf1cStVmDifCXLt+9+yUj83n0=,205543,465,Various Artists,,,24.0
PlV18IRC1BKbcgmIRUYgeuuui6g/jaV2sGpuGS2ky9Y=,222168,465,陈都灵,陈都灵,,52.0
IEnbeB8v0ww31UHPfeAuHgqBB1163xy3eBhIru1Oe38=,198577,726,Lullaby Baby Trio,,,-1.0
sp0yfeRO86A3Q1QvOOOCafCFG1f7Fp85mcczX86eowk=,121730,958,Edvard Grieg,,,-1.0
fA+n6GEqHCgmZaQtyHW2FdcDD8GOmz7nYdKwFlEoTLQ=,274469,465,ユンハンシン,ユンハンシン,ヤンチャンス,17.0
zPzYUvQ1QipRFn+2R7dRFtwUh1VnCYXr3QktjTeg0lc=,275696,465,Various Artists,N. Eede| Nicholas Eede,,52.0
MF+8BEL0WZ2TSbip7gb/ND7P/PWTy1clesfXGy9eQnA=,471248,958,Great Complosers 101,,,-1.0
TpFcJoxnRx+eHavE2hYgq1MJSnWu/yU9drCaDqLrU6U=,1372682,958,Fritz Reiner & The Chicago Symphony Orchestra,,,-1.0
XlSHsge5IIeAOnzuM8uBZiEBt4t8Bf0MN/FU0/IpekE=,219846,465,Romina Arena,,,52.0
HYRbUjr8gXfc8jtpUT5y0vB298ug8Jf+EOJuf1ML5pE=,243071,940,Relax & Relax,Neuromancer,,-1.0
K1gH9iKDQWPlKWiwYqf4btXNjMor8VHFVNAs2NmB+zs=,610533,786,吳雅慧+黃正銘,,,-1.0
ls3BWw9yluQYiBGhB4wwGgCS9/IoML/r5gxCPUlCImY=,220264,958,Andre Previn/Ida Haendel/Douglas Cummings/London Symphony Orchestra,,,-1.0
5bGUYL4vwDnLmB6q+BpVGCt5BnCXeEeWMz70+edAFiM=,251925,873,妙蓮華自在梵唄組,楊耿明、小野瀧哲,,-1.0
Y6dWaOmuXGGemrveLETXOc6Jiv7we0LiAB+gdrleUNw=,295357,958,Simon Preston,Johann Sebastian Bach,,-1.0
pS3pCcM9NVpJOIbbko6ufc7YFTKq2pnTmbHegpYX1rQ=,234466,465,EXILE THE SECOND,BACHLOGIC/FAST LANE/JOVEEK MURPHY,SHOKICHI/P-CHO/GS/KUBO-C/Tomogen,17.0
qqpQ9en4im1xlzLSSDe7cNzii2bklEW19nxz4KoamGQ=,119118,242,Dan Stein,,,-1.0
wV/3mDrEKgWu0+UAEgq/bpUYodTOnKaKzI6jX04jQ8w=,173662,465,証聲音樂圖書館 ECHO MUSIC,Adrina Thorpe,,52.0
O2IK/6rW/G+NJcbS3ikwNzLID8ckb+0uUn414bmSSeQ=,252470,465,方大同 (Khalil Fong),Khalil Fong,Khalil Fong| Vivian Hsu,3.0
D0IM56k9W0XqMLV2LgbgLrKjDhpcnnkgHxLvprVLzTg=,232185,465,Savage Garden,Darren Hayes| Daniel Jones,Darren Hayes| Daniel Jones,52.0
8z1nEKomoh0rODRI2r3z2kRglb8xMJaBMT0cTwXNzE8=,1239431,958,Jascha Heifetz,Ludwig van Beethoven,,-1.0
VY3wfEjGESOx//Yz4kaFDYRUKfajd17RhhBcbr2BLUs=,281496,465,羽泉 (Yu Quan),羽泉,DD/羽泉,3.0
I/zjA4BxhGUl0s4ZtI4T+31mjzN8Kiio679XQZEkO7g=,229970,437,Hideaki Tokunaga (德永英明),Kristen Anderson-Lopez| Robert Lopez,,17.0
xuf+dtA07yFIV2KYN1vxhEMh17wCrdY3SWadIsvV1do=,82570,786,Instrumental Music Company,,,-1.0
iuUkUk4gm/7IH7x5QUZzEbmvQmeTzcOy1NzFQGYGB4A=,203406,409,Jacques Brel,Gérard Jouannest,,52.0
0D/z9Dk4kAQS1GhnhmQCy32Dvw3MBYL6iea3jVH4wtU=,242602,465,Piano Duet Players,,,52.0
P0FvzSB8SfXXYrukUdVdl5bnIXx6w+/9guSk08NdCP4=,208608,691,Christmas Superstars,,,-1.0
hauSwbDU9xYQw0iFSshx2ALjzFQ1Yirix+OTWEJ4IGY=,318856,940,Argon Riffer,,,-1.0
ybBHe4TN6D7knD1XH3x9VRmY8B3AX4GC3k3CecVYfkY=,131889,242,Kike Fernández,,,-1.0
3oCEycZGBQAOKkHhxIqjMEFlC/xx26++VqgSgvtbDfM=,145632,465,my little airport,,,24.0
Z9SOqbDvuu5vyVDbWUUSxXX/T5WviPBI+e8jNIlCeG4=,250462,444,Groove Edition,,,31.0
TJ4un4eG/3T71+aGl5LMc5F/NumwEaqagXiqDFvu6BM=,261735,465,RAINBOW,Mohombi Moupondo| Bruno Lopez| Santiago Rodriguez| Ninos Hanna,,17.0
pb6F0DRS9GiFqDtH1M6rpOjXSeIziWkkgE0EISd/Tgs=,152459,465,Die Prinzen,Wolfgang Lenk|Mathias Dietrich|Alexander Zieme|Sebastian Krumbiegel|Tobias Künzel|Henri Schmidt|Jens Sembdner,Wolfgang Lenk|Mathias Dietrich|Alexander Zieme|Sebastian Krumbiegel|Tobias Künzel|Henri Schmidt|Jens Sembdner,52.0
TLy3dNnZ7WwNeCHnfaALx6kKiorpkWYzV4Ishmak2KM=,247327,465,林凡 (Freya Lim),曲世聰,曲世聰,3.0
AhADkVOwF79MZuXgT8D+LQf8b8HHPxnG/VXxIKNUKNk=,269792,465,楊韻禾 (Melody Yeung),,,3.0
